ID,Stage,Stimulus word,Stimulus word_POS,PAUSE 1,Reaction 1,Reaction 1_POS,Type 1,Косинус_1_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_1_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 2,Reaction 2,Reaction 2_POS,TYPE 2,Косинус_2_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_2_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 3,Reaction 3,Reaction 3_POS,TYPE 3,Косинус_3_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_3_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 4,Reaction 4,Reaction_4_POS,TYPE 4,Косинус_4_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_4_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 5,Reaction 5,Reaction 5_POS,TYPE 5,Косинус_5_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_5_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli
18,1,Изображение 77,NA,764,мечта,мечта_NOUN,MENTAL,NA,NA,12467,бизнес,бизнес_NOUN,FUNC,NA,NA,12619,продажа,продажа_NOUN,FRAME,NA,NA,1399,приобретение,приобретение_NOUN,FRAME,NA,NA,768,семья,семья_NOUN,FRAME,NA,NA
19,1,бабушка,бабушка_NOUN,1856,дача,дача_NOUN,FRAME,"0,2903527319","0,3752539158",1751,блины,блин_NOUN,FRAME,"0,2415230423","0,3499978185",886,пироги,пирога_NOUN,FRAME,"0,221088469","0,3670748174",621,улыбка,улыбка_NOUN,MENTAL,"0,1866564006","0,2526430786",2848,рис,рис_NOUN,FRAME,"-0,01936218888","0,2399553508"
19,1,богатый,богатый_ADJ,7917,дерево,дерево_NOUN,PRECED,"0,2034993321","0,3351843059",766,деньги,деньги_NOUN,FRAME,"0,3332915008","0,4485390484",845,машина,машина_NOUN,FRAME,"-0,03536336496","0,2344707251",878,очки,очки_NOUN,FRAME,"0,00349189085","0,1538163424",399,костюм,костюм_NOUN,FRAME,"0,1822420508","0,09533257782"
19,1,делать,делать_VERB,3506,добро,добро_NOUN,OBJ_DIR,"0,2006218284","0,2177563161",837,пиццу,пицец_NOUN,OBJ_DIR,NA,"0,4431433976",1288,куличи,кулич_NOUN,OBJ_DIR,"0,04911649227","0,4447598755",654,подарки,подарок_NOUN,OBJ_DIR,"0,08607265353","0,2964116335",492,усилия,усилие_NOUN,OBJ_DIR/MENTAL,"0,1263091117","0,525457263"
19,1,путь,путь_NOUN,6777,дорога,дорога_NOUN,SIMIL,"0,5957087278","0,8329578638",973,машина,машина_NOUN,FRAME,"0,2445056885","0,6011022329",466,глаза,глаз_NOUN,INDIV,"0,2042277306","0,5546944141",6429,тропинка,тропинка_NOUN,SIMIL,"0,4943208694","0,6186342239",465,истинный,истинный_ADJ,CHAR_DIR,"0,2289185524","0,2774902284"
19,1,глаз ,глаз_NOUN,4377,ресница,ресница_NOUN,SIMIL/HYP/FRAME,"0,6520904303","0,6155771613",443,макияж,макияж_NOUN,FRAME,"0,2459675819","0,5489194989",4947,стрелка,стрелка_NOUN,FRAME,"0,2760798037","0,5638335347",4232,голубой,голубой_ADJ,CHAR_DIR,"0,3627947271","0,4427924752",442,кольцо,кольцо_NOUN,INDIV,"0,2806945145","0,6868627071"
19,1,глупый,глупый_ADJ,3931,ученик,ученик_NOUN,CHAR_DIR,"0,1307716221","0,05620171875",3024,муравей,муравей_NOUN,CHAR_DIR,"0,1247901693","0,1602188349",1262,жук,жук_NOUN,CHAR_DIR,"0,02802989073","0,292871207",933,песок,песок_NOUN,INDIV,"0,05090722814","0,1387282014",4414,зеленый,зеленый_ADJ,INDIV,"0,06330662221","0,2959562838"
19,1,Изображение 7,NA,4369,уют,уют_NOUN,MENTAL,NA,NA,1647,птицы,птица_NOUN,FRAME,NA,NA,358,река,река_NOUN,FRAME,NA,NA,439,трава,трава_NOUN,FRAME,NA,NA,2434,луч,луч_NOUN,SIMIL,NA,NA
19,1,встретить,встретить_VERB,999,друг,друг_NOUN,OBJ_IND,"0,0427306816","0,5825302005",1098,любовь,любовь_NOUN,OBJ_DIR,"0,040462818","0,4253230691",735,дорога,дорога_NOUN,FRAME,"0,04453913867","0,319803834",465,глаза,глаз_NOUN,OBJ_DIR,"-0,06230203062","0,4697293341",425,плащ,плащ_NOUN,OBJ_DIR/INDIV,"0,1091341823","0,55059129"
19,1,настоящий,настоящий_ADJ,3729,друг,друг_NOUN,CHAR_DIR,"0,06234362721","0,3519895673",428,предательство,предательство_NOUN,SPECIFIC,"-0,03055733815","0,2263269573",2034,дерево,дерево_NOUN,CHAR_IND,"0,08939804137","0,2949284315",2725,пирамида,пирамида_NOUN,CHAR_IND,"0,03824792802","0,1561542898",1129,закат,закат_NOUN,CHAR_DIR,"0,007047487888","0,2502864301"
19,1,добро,добро_NOUN,8116,желтый,желтый_ADJ,PRECED,"0,006331526209","0,2463285923",864,сказка,сказка_NOUN,FRAME,"0,1952777505","0,3460004628",1073,люди,человек_NOUN,FRAME/FUNC,"0,2428835481","0,6784600019",8900,собака,собака_NOUN,FRAME/FUNC,"0,1749899983","0,2331796438",6546,луч,луч_NOUN,PRECED,"0,09363349527","0,6862705946"
